TransactionAmount,TransactionTime,CustomerAge,MerchantType_Entertainment,MerchantType_Food,MerchantType_Health,MerchantType_Retail,MerchantType_Utilities,CardType_Credit,CardType_Debit,TransactionLocation_Rural,TransactionLocation_Suburban,TransactionLocation_Urban
771.0437071426569,1027,23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
237.6336884155076,1532,68,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
381.2426701831035,19359,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
206.7821960042847,19856,60,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
131.18767010319962,26691,39,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
988.0259481033562,2599,42,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
262.8508590447797,82189,57,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
141.72773534691046,57,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
847.5405426408024,78748,71,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
906.3483259405156,33766,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
732.4869871059101,68248,28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41.73436641320915,76289,68,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
242.68974863521404,77001,54,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
623.3310901391984,84124,24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
949.120324251776,46921,23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
460.1551369811935,46529,76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
452.1873565233191,78681,57,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
615.7853539545306,70486,63,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
511.0598383197751,9278,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
171.35985900438152,41182,74,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
549.2929138378803,35435,49,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
856.0692644017065,35958,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
212.5863517316212,13760,63,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
333.4855427305803,16802,67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
896.3604597551073,83017,42,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
791.8484321108799,28340,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
549.1850555772195,65563,66,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
939.9844485128232,10249,61,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
413.2092190077751,85078,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
125.17292626205918,16258,55,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
596.8706083381302,42113,70,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
159.12796980303898,60399,69,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
636.793819294093,41721,44,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
809.9787401594166,83890,50,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
875.6131617455006,7645,45,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
951.5392194666103,72663,59,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
